title_moloko;squad_moloko;calories_moloko;protein_moloko;fat_moloko;carbohydrate_moloko;category_moloko;barcode_moloko
Молоко Чабан отборное халяль 3.4%-4.5%, 930мл;Молоко цельное, молоко обезжиренное.;61;3;3.4;61;Молоко;Неизвестно
Молоко Можайское стерилизованное 6%, 450мл;;85;3;6;4.7;Молоко;Неизвестно
Молоко Шадринское концентрированное стерилизованное 7.1%, 500мл;Обезжиренное молоко, сливки.;126;6.2;7.1;126;Молоко;Неизвестно
Молоко Можайское стерилизованное 2.5%, 450мл;Молоко нормализованное.;53;3;2.5;53;Молоко;Неизвестно
Молоко Можайское стерилизованное 3.2%, 450мл;Молоко нормализованное.;60;3;3.2;60;Молоко;Неизвестно
Молоко Можайское топлёное стерилизованное 4%, 450мл;Цельное молоко, сливки;66;2.8;4;66;Молоко;Неизвестно
Молоко из Углича топлёное 3.6-4.2%, 500мл;Изготовлено из цельного молока.;68.6;3.4;4.2;68.6;Молоко;Неизвестно
Молоко Простоквашино топлёное 3.2%, 930мл;Нормализованное молоко.;60;3;3.2;60;Молоко;Неизвестно
Молоко питьевое топленое 2.5% Зелёная Линия, 900мл;Нормализированное молоко.;53;3;2.5;53;Молоко;Неизвестно
Молоко Эконива топлёное 4%, 1л;Молоко цельное, молоко обезжиренное.;67;3;4;67;Молоко;Неизвестно
Молоко Умное Молоко А2 ультрапастеризованное 3.4-4.5%, 1л;Молоко коровье цельное;70;3;4.5;70;Молоко;Неизвестно
Молоко Эконива питьевое ультрапастеризованное 3.2%, 1л;Молоко нормализованное.;60;3;3.2;60;Молоко;Неизвестно
Молоко Петмол для капучино ультрапастеризованное 3.2%, 950мл;Нормализованное молоко, концентраты сывороточных и молочного белков.;62;3.7;3.2;62;Молоко;Неизвестно
Молоко Домик в деревне стерилизованное 6% 950мл;Молоко нормализованное.;84;2.9;6;84;Молоко;Неизвестно
Молоко Parmalat Natura Premium Dietalat питьевое ультрапастеризованное 0.5%, 1л;Нормализованное молоко, витаминный комплекс (А, Д3, Е).;35;3;0.5;35;Молоко;Неизвестно
Молоко Авида питьевое ультрапастеризованное 3.2%, 970мл;Изготовлен из нормализованного молока.;60;3;3.2;60;Молоко;Неизвестно
Молоко Белый Город ультрапастеризованное 3.2%, 1л;Нормализованное молоко.;60;3;3.2;60;Молоко;Неизвестно
Молоко Славянские Кружева питьевое ультрапастеризованное 3.2%, 973мл;Молоко цельное, молоко обезжиренное.;60;3;3.2;60;Молоко;Неизвестно
Молоко Простоквашино ультрапастеризованное 3.2%, 950мл;Нормализованное молоко.;59;2.9;3.2;59;Молоко;Неизвестно
Молоко Домик в деревне стерилизованное 1.5% 950мл;Молоко нормализованное.;44;3;1.5;44;Молоко;Неизвестно
Молоко Parmalat Natura Premium питьевое ультрапастеризованное 0.5%, 1л;Нормализованное молоко.;35;3;0.5;35;Молоко;Неизвестно
